ID,Type,SKU,Parent,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
,variation,st30-series-015,st30-series,0,Type,ST 3212-8/2 2/1,1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st30-series-016,st30-series,0,Type,ST 3212-12/3 2/1,1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st30-series-017,st30-series,0,Type,ST 3016-8 2/1,1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st30-series-018,st30-series,0,Type,ST 3016-8/2 2/1,1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st30-series-019,st30-series,0,Type,ST 3216-8/2 2/1,1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st30-series-020,st30-series,0,Type,ST 3216-12/3 2/1,1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st50-series-001,st50-series,0,Type,ST 5016-8/2 1/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st50-series-002,st50-series,0,Type,"ST 5020-6/1,5 1/1",1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,1/1,1,0
,variation,st50-series-003,st50-series,0,Type,ST 5020-8/2 1/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st50-series-004,st50-series,0,Type,"ST 5025-6/1,5 1/1",1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,1/1,1,0
,variation,st50-series-005,st50-series,0,Type,ST 5025-8/2 1/1,1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st50-series-006,st50-series,0,Type,ST 5016-8/2 2/1,1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st50-series-007,st50-series,0,Type,"ST 5020-6/1,5 2/1",1,0,Capaciteit (kg),4.000,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,2/1,1,0
,variation,st50-series-008,st50-series,0,Type,ST 5020-8/2 2/1,1,0,Capaciteit (kg),4.000,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st50-series-009,st50-series,0,Type,"ST 5025-6/1,5 2/1",1,0,Capaciteit (kg),5.000,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,2/1,1,0
,variation,st50-series-010,st50-series,0,Type,ST 5025-8/2 2/1,1,0,Capaciteit (kg),5.000,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st60-series-001,st60-series,0,Type,"ST 6032-6/1,5 1/1",1,0,Capaciteit (kg),3.200,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,1/1,1,0
,variation,st60-series-002,st60-series,0,Type,"ST 6032-6/1,5 2/1",1,0,Capaciteit (kg),6.300,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,2/1,1,0
